date,id,region,pid,province,cases acc,cases new,deaths acc,deaths new
2020-03-03,10,Comunitat Valenciana,46,Valencia,18,1,0.0,0.0
2020-03-03,12,Galicia,15,"Coruña, A",0,0,0.0,0.0
2020-03-03,12,Galicia,27,Lugo,0,0,0.0,0.0
2020-03-03,12,Galicia,32,Ourense,0,0,0.0,0.0
2020-03-03,12,Galicia,36,Pontevedra,0,0,0.0,0.0
2020-03-03,17,"Rioja, La",26,"Rioja, La",3,2,0.0,0.0
2020-03-03,13,"Madrid, Comunidad de",28,Madrid,93,42,0.0,0.0
2020-03-03,19,Melilla,52,Melilla,0,0,0.0,0.0
2020-03-03,14,"Murcia, Región de",30,Murcia,0,0,0.0,0.0
2020-03-03,15,"Navarra, Comunidad Foral de",31,Navarra,1,0,0.0,0.0
2020-03-03,16,País Vasco,1,Araba,3,2,0.0,0.0
2020-03-03,16,País Vasco,48,Bizkaia,2,2,0.0,0.0
2020-03-03,16,País Vasco,20,Gipuzkoa,2,2,0.0,0.0
2020-03-04,1,Andalucía,4,Almería,0,0,0.0,0.0
2020-03-04,1,Andalucía,11,Cádiz,0,0,0.0,0.0
2020-03-04,1,Andalucía,14,Córdoba,0,0,0.0,0.0
2020-03-04,1,Andalucía,18,Granada,0,0,0.0,0.0
2020-03-04,1,Andalucía,21,Huelva,0,0,0.0,0.0
2020-03-04,1,Andalucía,23,Jaén,1,0,0.0,0.0
2020-03-04,1,Andalucía,29,Málaga,3,0,0.0,0.0
2020-03-04,1,Andalucía,41,Sevilla,3,0,0.0,0.0
2020-03-04,2,Aragón,22,Huesca,0,0,0.0,0.0
2020-03-04,2,Aragón,44,Teruel,0,0,0.0,0.0
2020-03-04,2,Aragón,50,Zaragoza,2,1,0.0,0.0
2020-03-04,3,"Asturias, Principado de",33,Asturias,2,1,0.0,0.0
2020-03-04,4,"Balears, Illes",7,"Balears, Illes",5,3,0.0,0.0
2020-03-04,5,Canarias,35,"Palmas, Las",0,0,0.0,0.0
2020-03-04,5,Canarias,38,Santa Cruz de Tenerife,7,1,0.0,0.0
2020-03-04,6,Cantabria,39,Cantabria,10,0,0.0,0.0
2020-03-04,8,Castila-La Mancha,2,Albacete,1,0,0.0,0.0
2020-03-04,8,Castila-La Mancha,13,Ciudad Real,1,1,0.0,0.0
2020-03-04,8,Castila-La Mancha,16,Cuenca,0,0,0.0,0.0
2020-03-04,8,Castila-La Mancha,19,Guadalajara,8,6,0.0,0.0
2020-03-04,8,Castila-La Mancha,45,Toledo,2,0,0.0,0.0
2020-03-04,9,Cataluña,8,Barcelona,19,2,,
2020-03-04,18,Ceuta,51,Ceuta,0,0,0.0,0.0
2020-03-04,10,Comunitat Valenciana,3,Alicante,3,3,0.0,0.0
2020-03-04,10,Comunitat Valenciana,12,Castellón,1,0,0.0,0.0
2020-03-04,10,Comunitat Valenciana,46,Valencia,20,2,0.0,0.0
2020-03-04,12,Galicia,15,"Coruña, A",1,1,0.0,0.0
2020-03-04,12,Galicia,27,Lugo,0,0,0.0,0.0
2020-03-04,12,Galicia,32,Ourense,0,0,0.0,0.0
2020-03-04,12,Galicia,36,Pontevedra,0,0,0.0,0.0
2020-03-04,17,"Rioja, La",26,"Rioja, La",7,4,0.0,0.0
2020-03-04,13,"Madrid, Comunidad de",28,Madrid,139,46,0.0,0.0
2020-03-04,19,Melilla,52,Melilla,0,0,0.0,0.0
2020-03-04,14,"Murcia, Región de",30,Murcia,0,0,0.0,0.0
2020-03-04,15,"Navarra, Comunidad Foral de",31,Navarra,3,2,0.0,0.0
2020-03-04,16,País Vasco,1,Araba,6,3,0.0,0.0
2020-03-04,16,País Vasco,48,Bizkaia,3,1,0.0,0.0
2020-03-04,16,País Vasco,20,Gipuzkoa,2,0,0.0,0.0
2020-03-05,1,Andalucía,4,Almería,0,0,0.0,0.0
2020-03-05,1,Andalucía,11,Cádiz,0,0,0.0,0.0
2020-03-05,1,Andalucía,14,Córdoba,0,0,0.0,0.0
2020-03-05,1,Andalucía,18,Granada,0,0,0.0,0.0
2020-03-05,1,Andalucía,21,Huelva,0,0,0.0,0.0
2020-03-05,1,Andalucía,23,Jaén,1,0,0.0,0.0
2020-03-05,1,Andalucía,29,Málaga,5,2,0.0,0.0
2020-03-05,1,Andalucía,41,Sevilla,5,2,0.0,0.0
2020-03-05,2,Aragón,22,Huesca,0,0,0.0,0.0
2020-03-05,2,Aragón,44,Teruel,0,0,0.0,0.0
2020-03-05,2,Aragón,50,Zaragoza,2,0,0.0,0.0
2020-03-05,3,"Asturias, Principado de",33,Asturias,5,3,0.0,0.0
2020-03-05,4,"Balears, Illes",7,"Balears, Illes",6,1,0.0,0.0
2020-03-05,5,Canarias,35,"Palmas, Las",0,0,0.0,0.0
2020-03-05,5,Canarias,38,Santa Cruz de Tenerife,8,1,0.0,0.0
2020-03-05,6,Cantabria,39,Cantabria,10,0,0.0,0.0
2020-03-05,8,Castila-La Mancha,2,Albacete,1,0,0.0,0.0
2020-03-05,8,Castila-La Mancha,13,Ciudad Real,1,0,0.0,0.0
2020-03-05,8,Castila-La Mancha,16,Cuenca,0,0,0.0,0.0
2020-03-05,8,Castila-La Mancha,19,Guadalajara,9,1,0.0,0.0
2020-03-05,8,Castila-La Mancha,45,Toledo,2,0,0.0,0.0
2020-03-05,9,Cataluña,8,Barcelona,25,6,,
2020-03-05,18,Ceuta,51,Ceuta,0,0,0.0,0.0
2020-03-05,10,Comunitat Valenciana,3,Alicante,5,2,0.0,0.0
2020-03-05,10,Comunitat Valenciana,12,Castellón,3,2,0.0,0.0
2020-03-05,10,Comunitat Valenciana,46,Valencia,22,2,0.0,0.0
2020-03-05,12,Galicia,15,"Coruña, A",1,0,0.0,0.0
2020-03-05,12,Galicia,27,Lugo,0,0,0.0,0.0
2020-03-05,12,Galicia,32,Ourense,0,0,0.0,0.0
2020-03-05,12,Galicia,36,Pontevedra,2,2,0.0,0.0
2020-03-05,17,"Rioja, La",26,"Rioja, La",11,4,0.0,0.0
2020-03-05,13,"Madrid, Comunidad de",28,Madrid,193,54,1.0,1.0
2020-03-05,19,Melilla,52,Melilla,0,0,0.0,0.0
2020-03-05,14,"Murcia, Región de",30,Murcia,0,0,0.0,0.0
2020-03-05,15,"Navarra, Comunidad Foral de",31,Navarra,3,0,0.0,0.0
2020-03-05,16,País Vasco,1,Araba,22,16,0.0,0.0
2020-03-05,16,País Vasco,48,Bizkaia,6,3,0.0,0.0
2020-03-05,16,País Vasco,20,Gipuzkoa,2,0,0.0,0.0
2020-03-06,1,Andalucía,4,Almería,0,0,0.0,0.0
2020-03-06,1,Andalucía,11,Cádiz,0,0,0.0,0.0
2020-03-06,1,Andalucía,14,Córdoba,0,0,0.0,0.0
2020-03-06,1,Andalucía,18,Granada,0,0,0.0,0.0
2020-03-06,1,Andalucía,21,Huelva,0,0,0.0,0.0
2020-03-06,1,Andalucía,23,Jaén,1,0,0.0,0.0
2020-03-06,1,Andalucía,29,Málaga,9,4,0.0,0.0
2020-03-06,1,Andalucía,41,Sevilla,5,0,0.0,0.0
2020-03-06,2,Aragón,22,Huesca,0,0,0.0,0.0
2020-03-06,2,Aragón,44,Teruel,0,0,0.0,0.0
2020-03-06,2,Aragón,50,Zaragoza,7,5,1.0,0.0
2020-03-06,3,"Asturias, Principado de",33,Asturias,5,0,0.0,0.0
2020-03-06,4,"Balears, Illes",7,"Balears, Illes",6,0,0.0,0.0
2020-03-06,5,Canarias,35,"Palmas, Las",0,0,0.0,0.0
2020-03-06,5,Canarias,38,Santa Cruz de Tenerife,9,1,0.0,0.0
2020-03-06,6,Cantabria,39,Cantabria,10,0,0.0,0.0
2020-03-06,8,Castila-La Mancha,2,Albacete,1,0,0.0,0.0
2020-03-06,8,Castila-La Mancha,13,Ciudad Real,1,0,0.0,0.0
2020-03-06,8,Castila-La Mancha,16,Cuenca,0,0,0.0,0.0
2020-03-06,8,Castila-La Mancha,19,Guadalajara,11,2,0.0,0.0
2020-03-06,8,Castila-La Mancha,45,Toledo,2,0,0.0,0.0
2020-03-06,9,Cataluña,17,Girona,2,1,,
2020-03-06,18,Ceuta,51,Ceuta,0,0,0.0,0.0
2020-03-06,10,Comunitat Valenciana,3,Alicante,6,1,0.0,0.0
2020-03-06,10,Comunitat Valenciana,12,Castellón,3,0,0.0,0.0
2020-03-06,10,Comunitat Valenciana,46,Valencia,22,0,0.0,0.0
2020-03-06,5,Extremadura,6,Badajoz,4,0,0.0,0.0
2020-03-06,5,Extremadura,10,Cáceres,2,0,0.0,0.0
2020-03-06,12,Galicia,15,"Coruña, A",1,0,0.0,0.0
2020-03-06,12,Galicia,27,Lugo,0,0,0.0,0.0
2020-03-06,12,Galicia,32,Ourense,0,0,0.0,0.0
2020-03-06,12,Galicia,36,Pontevedra,3,1,0.0,0.0
2020-03-06,17,"Rioja, La",26,"Rioja, La",29,18,0.0,0.0
2020-03-06,13,"Madrid, Comunidad de",28,Madrid,305,112,2.0,1.0
2020-03-06,19,Melilla,52,Melilla,0,0,0.0,0.0
2020-03-06,14,"Murcia, Región de",30,Murcia,0,0,0.0,0.0
2020-03-06,15,"Navarra, Comunidad Foral de",31,Navarra,3,0,0.0,0.0
2020-03-06,16,País Vasco,1,Araba,38,16,1.0,1.0
2020-03-06,16,País Vasco,48,Bizkaia,10,4,1.0,1.0
2020-03-06,16,País Vasco,20,Gipuzkoa,2,0,1.0,1.0
2020-03-07,1,Andalucía,4,Almería,0,0,0.0,0.0
2020-03-07,1,Andalucía,11,Cádiz,1,1,0.0,0.0
2020-03-07,1,Andalucía,14,Córdoba,0,0,0.0,0.0
2020-03-07,1,Andalucía,18,Granada,0,0,0.0,0.0
2020-03-07,1,Andalucía,21,Huelva,0,0,0.0,0.0
2020-03-07,1,Andalucía,23,Jaén,3,2,0.0,0.0
2020-03-07,1,Andalucía,29,Málaga,11,2,0.0,0.0
2020-03-07,1,Andalucía,41,Sevilla,5,0,0.0,0.0
2020-03-07,2,Aragón,22,Huesca,0,0,0.0,0.0
2020-03-07,2,Aragón,44,Teruel,0,0,0.0,0.0
2020-03-07,2,Aragón,50,Zaragoza,14,7,1.0,0.0
2020-03-07,3,"Asturias, Principado de",33,Asturias,5,0,0.0,0.0
2020-03-07,4,"Balears, Illes",7,"Balears, Illes",6,0,0.0,0.0
2020-03-07,5,Canarias,35,"Palmas, Las",0,0,0.0,0.0
2020-03-07,5,Canarias,38,Santa Cruz de Tenerife,9,0,0.0,0.0
2020-03-07,6,Cantabria,39,Cantabria,10,0,0.0,0.0
2020-03-07,8,Castila-La Mancha,2,Albacete,1,0,0.0,0.0
2020-03-07,8,Castila-La Mancha,13,Ciudad Real,1,0,0.0,0.0
2020-03-07,8,Castila-La Mancha,16,Cuenca,0,0,0.0,0.0
2020-03-07,8,Castila-La Mancha,19,Guadalajara,12,1,0.0,0.0
